date	miles	litres	pounds	mpg	£/litre	note
23/02/2021	495.0	54.36	£67.90	41.4	£1.25	
19/04/2021	557.0	54.81	£74.75	46.2	£1.36	
01/05/2021	418.0	44.80	£56.40	42.4	£1.26	
04/05/2021	496.0	56.65	£74.72	39.8	£1.32	
06/06/2021	528.0	52.66	£68.93	45.6	£1.31	
12/07/2021	530.0	54.42	£71.24	44.3	£1.31	
05/08/2021	510.0	53.58	£71.74	43.3	£1.34	
27/08/2021	550.0	13.80	£20.01	181.2	£1.45	
28/08/2021	175.8	53.10	£72.69	15.0	£1.37	
01/10/2021	478.7	51.53	£71.06	42.2	£1.38	
22/10/2021	305.4	34.80	£51.80	39.9	£1.49	
03/11/2021	574.1	53.05	£78.99	49.2	£1.49	
29/11/2021	289.0	34.27	£51.37	38.3	£1.50	
20/12/2021	395.2	44.95	£66.38	40.0	£1.48	
31/12/2021	448.5	44.33	£65.12	46.0	£1.47	
30/01/2022	438.0	49.00	£72.00	40.6	£1.47	
07/03/2022	395.0	45.37	£70.73	39.6	£1.56	
10/04/2022	340.0	40.00	£68.00	38.6	£1.70	
23/04/2022	392.0	38.35	£67.07	46.5	£1.75	
29/05/2022	518.7	55.10	£101.84	42.8	£1.85	
10/07/2022	467.3	49.80	£98.55	42.7	£1.98	
03/08/2022	596.1	49.20	£94.78	55.1	£1.93	Anna borrowed car. Manually added 10L and £20
16/08/2022	390.0	40.80	£73.42	43.4	£1.80	
20/08/2022	529.5	54.70	£101.14	44.0	£1.85	
18/09/2022	557.8	55.14	£98.09	46.0	£1.78	
26/10/2022	452.8	48.80	£92.67	42.2	£1.90	
18/11/2022	525.5	52.47	£98.59	45.5	£1.88	
16/12/2022	387.2	44.64	£77.18	39.4	£1.73	
25/01/2023	425.7	47.94	£82.41	40.4	£1.72	
22/02/2023	460.7	47.70	£80.57	43.9	£1.69	
09/03/2023	525.1	51.72	£85.80	46.1	£1.66	
27/03/2023	553.2	55.29	£90.07	45.5	£1.63	
06/04/2023	448.0	41.47	£67.14	49.1	£1.62	
16/04/2023	487.4	48.89	£78.18	45.3	£1.60	
12/05/2023	421.4	40.74	£63.11	47.0	£1.55	
14/05/2023	298.3	22.65	£35.08	59.9	£1.55	
04/06/2023	540.3	55.73	£83.54	44.1	£1.50	
04/07/2023	449.6	46.25	£67.02	44.2	£1.45	
22/07/2023	458.5	46.46	£66.86	44.9	£1.44	
08/08/2023	283.9	31.34	£46.98	41.2	£1.50	
14/08/2023	533.7	48.01	£73.41	50.5	£1.53	
20/08/2023	570.2	54.11	£82.19	47.9	£1.52	
04/09/2023	539.8	53.41	£81.13	45.9	£1.52	
11/10/2023	517.7	50.22	£81.81	46.9	£1.63	
15/11/2023	517.1	51.00	£81.04	46.1	£1.59	
12/12/2023	522.7	53.96	£80.35	44.0	£1.49	
29/12/2023	583.5	56.56	£82.52	46.9	£1.46	
04/02/2024	501.2	54.75	£82.07	41.6	£1.50	
02/03/2024	454.9	44.80	£65.75	46.2	£1.47	
27/03/2024	367.1	39.34	£59.76	42.4	£1.52	
01/04/2024	463.3	42.96	£65.60	49.0	£1.53	
12/04/2024	545.8	55.55	£86.60	44.7	£1.56	
15/05/2024	560.4	53.45	£83.33	47.7	£1.56	
04/06/2024	533.3	51.58	£77.73	47.0	£1.51	
03/06/2024	537.4	53.06	£79.01	46.0	£1.49	
29/06/2024	447.1	46.25	£68.87	43.9	£1.49	
20/08/2024	502.3	49.95	£73.88	45.7	£1.48	
19/09/2024	495.8	48.77	£68.23	46.2	£1.40	
27/10/2024	477.6	45.23	£63.73	48.0	£1.41	
01/11/2024	522.5	43.05	£60.66	55.2	£1.41	
01/12/2024	602.7	54.61	£80.77	50.2	£1.48	
23/12/2024	331.2	31.79	£46.38	47.4	£1.46	
29/12/2024	425.9	42.50	£60.31	45.6	£1.42	
06/01/2025	490.6	50.57	£74.29	44.1	£1.47	
12/02/2025	418.5	44.15	£64.86	43.1	£1.47	
20/02/2025	488.4	44.44	£65.28	50.0	£1.47	
07/04/2025	492.2	48.31	£68.55	46.3	£1.42	
27/04/2025	571.4	51.32	£71.28	50.6	£1.39	
21/05/2025	476.1	47.04	£65.81	46.0	£1.40	
23/06/2025	539.0	53.66	£76.68	45.7	£1.43	
13/07/2025	456.5	44.19	£60.41	47.0	£1.37	
07/08/2025	669.7	59.52	£85.53	51.1	£1.44	Includes a £10 top up on 6th August 2025
27/08/2025	526.0	51.85	£72.54	46.1	£1.40	
01/09/2025	389.8	31.38	£43.59	56.5	£1.39	
28/09/2025	607.6	53.94	£77.08	51.2	£1.43	
25/10/2025	302.5	29.28	£41.26	47.0	£1.41	
20/11/2025	572.5	49.70	£72.02	52.4	£1.45	
27/12/2025	382.5	39.14	£55.93			
